seed,dimension,timeBoscia_Custom,solutionBoscia_Custom,terminationBoscia_Custom,numberNodesBoscia_Custom,dualGapBoscia_Custom,lbBoscia_Custom,relGapBoscia_Custom,timeBoscia_MIP,solutionBoscia_MIP,terminationBoscia_MIP,numberNodesBoscia_MIP,dualGapBoscia_MIP,lbBoscia_MIP,relGapBoscia_MIP,minimumTime
1,3,10.316,0.7820526590556626,1,35,0.0,0.7820526590556626,0.0,7.866,0.7820526590556626,1,35,0.0,0.7820526590556626,0.0,7.866
2,3,6.861,0.5790167009153805,1,39,0.0,0.5790167009153805,0.0,8.312,0.5790167009153805,1,39,0.0,0.5790167009153805,0.0,6.861
3,3,8.325,0.5687442356870922,1,33,0.0,0.5687442356870922,0.0,8.964,0.5687442356870922,1,33,0.0,0.5687442356870922,0.0,8.325
4,3,8.258,0.8088982145668246,1,40,0.0,0.8088982145668246,0.0,9.8,0.8088982145668246,1,40,0.0,0.8088982145668246,0.0,8.258
5,3,7.977,0.5333361993474728,1,30,0.0,0.5333361993474728,0.0,10.155,0.5333361993474728,1,30,0.0,0.5333361993474728,0.0,7.977
1,4,8.382,0.8946268641300092,1,124,0.0,0.8946268641300092,0.0,6.549,0.8946268641300092,1,125,0.0,0.8946268641300092,0.0,6.549
2,4,8.459,1.0987910305155162,1,173,0.0,1.0987910305155162,0.0,6.664,1.0987910305155162,1,170,0.0,1.0987910305155162,0.0,6.664
3,4,8.45,1.0209371901497069,1,146,0.0,1.0209371901497069,0.0,6.567,1.0209371901497069,1,146,0.0,1.0209371901497069,0.0,6.567
4,4,8.637,1.1432827010260391,1,166,0.0,1.1432827010260391,0.0,8.446,1.1432827010260391,1,166,0.0,1.1432827010260391,0.0,8.446
5,4,8.394,0.966924818610073,1,123,0.003046153124350637,0.9638786654857223,0.003160307654299626,9.658,0.966924818610073,1,123,0.003046153124350637,0.9638786654857223,0.003160307654299626,8.394
1,5,8.626,1.4795318187671724,1,675,0.011548444562285765,1.4679833742048867,0.007866876945074956,8.729,1.4795318187671724,1,664,0.01167138595864925,1.4678604328085232,0.00795129134744634,8.626
2,5,8.285,1.6579841536689468,1,854,0.011236686462599232,1.6467474672063476,0.006823563834995233,9.452,1.6579841536689468,1,853,0.011236686462599232,1.6467474672063476,0.006823563834995233,8.285
3,5,9.944,1.2616880638537986,1,525,0.0064780574853200434,1.2552100063684786,0.0051609351841148,8.572,1.2616880638537986,1,517,0.003103332134465786,1.2585847317193328,0.002465731592203866,8.572
4,5,9.168,1.4860355919276897,1,746,0.0018312937210451796,1.4842042982066446,0.001233855556986273,11.395,1.4860355919276897,1,746,0.0018312937210451796,1.4842042982066446,0.001233855556986273,9.168
5,5,9.209,1.652093205061694,1,899,0.014808430745232304,1.6372847743164618,0.009044505254997297,14.164,1.652093205061694,1,899,0.014808430745232304,1.6372847743164618,0.009044505254997297,9.209
1,6,9.568,1.8831742775099256,1,3804,0.015257362011628084,1.8679169154982975,0.00816811598258798,28.273,1.8831742775099256,1,3804,0.015257362011628084,1.8679169154982975,0.00816811598258798,9.568
