seed,dimension,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,3,0.7820526590556626,0.0,0.0,35,OPTIMAL,10.316
2,3,0.5790167009153805,0.0,0.0,39,OPTIMAL,6.861
3,3,0.5687442356870922,0.0,0.0,33,OPTIMAL,8.325
4,3,0.8088982145668246,0.0,0.0,40,OPTIMAL,8.258
5,3,0.5333361993474728,0.0,0.0,30,OPTIMAL,7.977
1,4,0.8946268641300092,0.0,0.0,124,OPTIMAL,8.382
2,4,1.0987910305155162,0.0,0.0,173,OPTIMAL,8.459
3,4,1.0209371901497069,0.0,0.0,146,OPTIMAL,8.45
4,4,1.1432827010260391,0.0,0.0,166,OPTIMAL,8.637
5,4,0.966924818610073,0.003046153124350637,0.003160307654299626,123,OPTIMAL,8.394
1,5,1.4795318187671724,0.011548444562285765,0.007866876945074956,675,OPTIMAL,8.626
2,5,1.6579841536689468,0.011236686462599232,0.006823563834995233,854,OPTIMAL,8.285
3,5,1.2616880638537986,0.0064780574853200434,0.0051609351841148,525,OPTIMAL,9.944
4,5,1.4860355919276897,0.0018312937210451796,0.001233855556986273,746,OPTIMAL,9.168
5,5,1.652093205061694,0.014808430745232304,0.009044505254997297,899,OPTIMAL,9.209
1,6,1.8831742775099256,0.015257362011628084,0.00816811598258798,3804,OPTIMAL,9.568
2,6,2.1116520376273074,0.01897800099572544,0.009068780260815432,5391,OPTIMAL,10.16
3,6,1.7677150703194724,0.01650016656312947,0.009422125478567328,3287,OPTIMAL,6.901
4,6,2.134835014121023,0.020701843822328758,0.009792119112063272,5490,OPTIMAL,7.08
5,6,2.0142823379596324,0.017428114022027597,0.008727784839326442,4962,OPTIMAL,7.217
1,7,2.37229261982671,0.023214407342390775,0.009882347560424509,27969,OPTIMAL,10.873
2,7,2.422008436770351,0.02381358107078535,0.009929794075819084,30135,OPTIMAL,11.583
3,7,2.3490337466077125,0.023078439915016347,0.00992213386414198,28496,OPTIMAL,10.681
4,7,2.602557764540016,0.025749492736916846,0.00999278565607012,39775,OPTIMAL,16.668
5,7,2.449834535501338,0.024149978926978122,0.009955943719691072,33410,OPTIMAL,12.39
1,8,2.8942452574246302,0.028653244462954586,0.009999066277875543,248302,OPTIMAL,242.615
2,8,2.8062126869792547,0.02755598237176038,0.009917015774589134,220770,OPTIMAL,262.577
3,8,2.9224634507541283,0.028927440294118867,0.009997262930043865,258849,OPTIMAL,265.333
4,8,3.0022693493973156,0.02969170089036055,0.009988536684743587,307022,OPTIMAL,445.43
5,8,2.960373697147759,0.029294715246724667,0.009994515817422547,289519,OPTIMAL,430.474
1,9,3.2369017690303363,0.6994125356755281,0.2756317254402047,649466,TIME_LIMIT,1200.55
2,9,3.2939198635879374,0.7397874478947615,0.28964334164874833,647871,TIME_LIMIT,1200.572
3,9,3.423023565235768,0.8969070826669747,0.35505373123369,655276,TIME_LIMIT,1200.572
4,9,3.504334111967668,1.012454194357551,0.4063013579436699,646490,TIME_LIMIT,1200.582
5,9,3.4752792966372104,0.9670993973428184,0.38557816272065865,641324,TIME_LIMIT,1200.552
1,10,3.8624990166293705,1.6407125112595478,0.7384654228901469,866592,TIME_LIMIT,1200.565
2,10,3.8698049654838362,1.643974870312566,0.7385895598585963,828872,TIME_LIMIT,1200.685
3,10,3.8525453501751827,1.6486437318737002,0.748056863420377,841137,TIME_LIMIT,1200.647
4,10,4.0492506564515,1.8813587981840296,0.8678287115703126,866497,TIME_LIMIT,1200.602
5,10,3.8790334622940366,1.7018307937241013,0.7816593366762336,841352,TIME_LIMIT,1200.677
