seed,dimension,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings,list_active_set_size_cb,list_discarded_set_size_cb
3,14,7863.0,-0.00621542030090166,5.8379400063524125,TIME_LIMIT,84,0,0,58,0
3,14,10142.0,-0.00621542030090166,5.8379400063524125,TIME_LIMIT,138,0,0,77,4
3,14,11256.0,0.01651374195226933,5.8379400063524125,TIME_LIMIT,209,0,0,66,1
3,14,12106.0,0.01651374195226933,5.8379400063524125,TIME_LIMIT,250,0,0,90,5
3,14,13429.0,0.029868557896398158,5.8379400063524125,TIME_LIMIT,326,0,0,67,1
3,14,14397.0,0.029868557896398158,5.8379400063524125,TIME_LIMIT,372,0,0,95,12
3,14,15696.0,0.046845926901486624,5.8379400063524125,TIME_LIMIT,446,0,0,76,0
3,14,16652.0,0.046845926901486624,5.8379400063524125,TIME_LIMIT,492,0,0,110,14
3,14,17959.0,0.06095848791096835,5.8379400063524125,TIME_LIMIT,565,0,0,71,5
3,14,18935.0,0.06095848791096835,5.8379400063524125,TIME_LIMIT,614,0,0,119,19
3,14,20423.0,0.07502647864792103,5.8379400063524125,TIME_LIMIT,700,0,0,83,0
3,14,21491.0,0.07502647864792103,5.8379400063524125,TIME_LIMIT,751,0,0,130,23
3,14,23020.0,0.0913564407278952,5.8379400063524125,TIME_LIMIT,832,0,0,82,2
3,14,24247.0,0.0913564407278952,5.8379400063524125,TIME_LIMIT,890,0,0,135,30
3,14,25764.0,0.1085576277128661,5.8379400063524125,TIME_LIMIT,972,0,0,85,5
3,14,26902.0,0.1085576277128661,5.8379400063524125,TIME_LIMIT,1027,0,0,146,35
3,14,28331.0,0.12569219852021768,5.8379400063524125,TIME_LIMIT,1109,0,0,80,10
3,14,29249.0,0.12569219852021768,5.8379400063524125,TIME_LIMIT,1159,0,0,142,34
3,14,30938.0,0.14187620730619305,5.8379400063524125,TIME_LIMIT,1250,0,0,89,5
3,14,32026.0,0.14187620730619305,5.8379400063524125,TIME_LIMIT,1302,0,0,141,41
3,14,33746.0,0.16068319458761418,5.8379400063524125,TIME_LIMIT,1394,0,0,96,13
3,14,34910.0,0.16068319458761418,5.8379400063524125,TIME_LIMIT,1447,0,0,141,37
3,14,36612.0,0.18424520888880322,5.8379400063524125,TIME_LIMIT,1538,0,0,100,8
3,14,37781.0,0.18424520888880322,5.8379400063524125,TIME_LIMIT,1603,0,0,125,34
3,14,39338.0,0.2145701245564031,5.8379400063524125,TIME_LIMIT,1697,0,0,99,17
3,14,40651.0,0.2145701245564031,5.8379400063524125,TIME_LIMIT,1757,0,0,110,30
3,14,42436.0,0.2639537557948792,5.8379400063524125,TIME_LIMIT,1849,0,0,104,25
3,14,43887.0,0.2639537557948792,5.8379400063524125,TIME_LIMIT,1923,0,0,81,31
3,14,45658.0,0.3625748915954169,5.8379400063524125,TIME_LIMIT,2016,0,0,115,19
3,14,47034.0,0.3625748915954169,5.8379400063524125,TIME_LIMIT,2093,0,0,125,37
3,14,48269.0,0.4029971069374384,5.8379400063524125,TIME_LIMIT,2175,0,0,117,16
3,14,48917.0,0.4029971069374384,5.8379400063524125,TIME_LIMIT,2222,0,0,86,4
3,14,49878.0,0.41975681762762646,5.8379400063524125,TIME_LIMIT,2288,0,0,55,0
3,14,50560.0,0.41975681762762646,5.8379400063524125,TIME_LIMIT,2326,0,0,96,6
3,14,51747.0,0.4329674459413592,5.8379400063524125,TIME_LIMIT,2396,0,0,61,0
3,14,52608.0,0.4329674459413592,5.8379400063524125,TIME_LIMIT,2442,0,0,112,11
3,14,53965.0,0.44611551143450956,5.8379400063524125,TIME_LIMIT,2519,0,0,72,2
3,14,54721.0,0.44611551143450956,5.8379400063524125,TIME_LIMIT,2560,0,0,85,2
3,14,55947.0,0.44908400010987637,5.8379400063524125,TIME_LIMIT,2631,0,0,67,1
3,14,56745.0,0.44908400010987637,5.8379400063524125,TIME_LIMIT,2672,0,0,114,13
3,14,58057.0,0.4569227291338155,5.8379400063524125,TIME_LIMIT,2748,0,0,70,3
3,14,58893.0,0.4569227291338155,5.8379400063524125,TIME_LIMIT,2793,0,0,88,8
3,14,60087.0,0.4617490246843542,5.8379400063524125,TIME_LIMIT,2864,0,0,58,0
3,14,60917.0,0.4617490246843542,5.8379400063524125,TIME_LIMIT,2907,0,0,96,5
3,14,62209.0,0.4627365736279575,5.8379400063524125,TIME_LIMIT,2981,0,0,63,1
3,14,63031.0,0.4627365736279575,5.8379400063524125,TIME_LIMIT,3024,0,0,117,15
3,14,64310.0,0.47206999383308207,5.8379400063524125,TIME_LIMIT,3097,0,0,73,6
3,14,65090.0,0.47206999383308207,5.8379400063524125,TIME_LIMIT,3141,0,0,101,10
3,14,66393.0,0.4771655748162013,5.8379400063524125,TIME_LIMIT,3215,0,0,64,4
3,14,67225.0,0.4771655748162013,5.8379400063524125,TIME_LIMIT,3258,0,0,104,11
3,14,68544.0,0.4814741895744639,5.8379400063524125,TIME_LIMIT,3334,0,0,76,3
3,14,69239.0,0.4814741895744639,5.8379400063524125,TIME_LIMIT,3378,0,0,109,17
3,14,70388.0,0.48607075407074835,5.8379400063524125,TIME_LIMIT,3461,0,0,78,7
3,14,71201.0,0.48607075407074835,5.8379400063524125,TIME_LIMIT,3515,0,0,112,16
3,14,72245.0,0.4891273980780094,5.8379400063524125,TIME_LIMIT,3588,0,0,70,2
3,14,73155.0,0.4891273980780094,5.8379400063524125,TIME_LIMIT,3639,0,0,89,7
3,14,74429.0,0.49147674420032766,5.8379400063524125,TIME_LIMIT,3717,0,0,67,0
3,14,75422.0,0.49147674420032766,5.8379400063524125,TIME_LIMIT,3767,0,0,114,20
3,14,76642.0,0.4998391017568292,5.8379400063524125,TIME_LIMIT,3838,0,0,68,0
3,14,77523.0,0.4998391017568292,5.8379400063524125,TIME_LIMIT,3882,0,0,109,22
3,14,78751.0,0.5023097652997013,5.8379400063524125,TIME_LIMIT,3953,0,0,73,12
3,14,79698.0,0.5023097652997013,5.8379400063524125,TIME_LIMIT,4002,0,0,105,28
3,14,80970.0,0.5036351171800183,5.8379400063524125,TIME_LIMIT,4074,0,0,70,3
3,14,81839.0,0.5036351171800183,5.8379400063524125,TIME_LIMIT,4120,0,0,100,7
3,14,83401.0,0.5051012888324485,5.8379400063524125,TIME_LIMIT,4204,0,0,74,0
3,14,84419.0,0.5051012888324485,5.8379400063524125,TIME_LIMIT,4254,0,0,105,8
3,14,85692.0,0.5080777415713229,5.8379400063524125,TIME_LIMIT,4328,0,0,69,1
3,14,86769.0,0.5080777415713229,5.8379400063524125,TIME_LIMIT,4384,0,0,105,6
3,14,88220.0,0.5083162188399228,5.8379400063524125,TIME_LIMIT,4470,0,0,75,1
3,14,89098.0,0.5083162188399228,5.8379400063524125,TIME_LIMIT,4513,0,0,118,31
3,14,90611.0,0.5165611660464066,5.8379400063524125,TIME_LIMIT,4599,0,0,82,2
3,14,91598.0,0.5165611660464066,5.8379400063524125,TIME_LIMIT,4649,0,0,119,11
3,14,92796.0,0.51988046056265,5.8379400063524125,TIME_LIMIT,4733,0,0,72,0
3,14,93875.0,0.51988046056265,5.8379400063524125,TIME_LIMIT,4788,0,0,116,30
3,14,95351.0,0.5209673058443571,5.8379400063524125,TIME_LIMIT,4869,0,0,85,5
3,14,96408.0,0.5209673058443571,5.8379400063524125,TIME_LIMIT,4922,0,0,111,28
3,14,97835.0,0.5212587793856188,5.8379400063524125,TIME_LIMIT,5003,0,0,83,4
3,14,98904.0,0.5212587793856188,5.8379400063524125,TIME_LIMIT,5056,0,0,113,16
3,14,100424.0,0.5219538831644376,5.8379400063524125,TIME_LIMIT,5141,0,0,72,5
3,14,101458.0,0.5219538831644376,5.8379400063524125,TIME_LIMIT,5195,0,0,104,13
3,14,102731.0,0.5228694423587658,5.8379400063524125,TIME_LIMIT,5286,0,0,70,1
3,14,103604.0,0.5228694423587658,5.8379400063524125,TIME_LIMIT,5344,0,0,117,17
3,14,104793.0,0.5237303041971308,5.8379400063524125,TIME_LIMIT,5430,0,0,77,4
3,14,105787.0,0.5237303041971308,5.8379400063524125,TIME_LIMIT,5479,0,0,120,34
3,14,107010.0,0.5309061417610516,5.8379400063524125,TIME_LIMIT,5555,0,0,67,3
3,14,107692.0,0.5309061417610516,5.8379400063524125,TIME_LIMIT,5599,0,0,125,22
3,14,109256.0,0.5355325293937401,5.8379400063524125,TIME_LIMIT,5685,0,0,77,0
3,14,110505.0,0.5355325293937401,5.8379400063524125,TIME_LIMIT,5748,0,0,122,21
3,14,111803.0,0.5365097383513261,5.8379400063524125,TIME_LIMIT,5835,0,0,79,3
3,14,112706.0,0.5365097383513261,5.8379400063524125,TIME_LIMIT,5890,0,0,98,18
3,14,114166.0,0.5382164988874043,5.8379400063524125,TIME_LIMIT,5984,0,0,81,4
3,14,114944.0,0.5382164988874043,5.8379400063524125,TIME_LIMIT,6035,0,0,120,21
3,14,116019.0,0.5388802777132188,5.8379400063524125,TIME_LIMIT,6113,0,0,72,3
3,14,116805.0,0.5388802777132188,5.8379400063524125,TIME_LIMIT,6163,0,0,119,23
